"","StateCodes","State","Region","Division","Coast","Great.Lakes","TotalC","TotalP","TotalE","TotalPrice","TotalC_Changes","TotalP_Changes","TotalE_Changes","TotalPrice_Changes","BiomassC","CoalC","CoalP","CoalE","CoalPrice","ElecC","ElecE","ElecPrice","FossFuelC","GeoC","GeoP","HydroC","HydroP","NatGasC","NatGasE","NatGasPrice","LPGC","LPGE","LPGPrice","GDP","Population","Year"
"26","MT","Montana",4,8,0,0,400855,1148154,4744,18.26,0,0,0,0,14644,203339,797035,289.1,1.42,46988,1067.2,23.08,447231,279,0,91849,9415,72888,496.1,8.3,9000,185.7,20.69,37801,990575,2010
"27","NE","Nebraska",2,4,0,0,860741,399822,8724.6,16.68,0,0,0,0,109887,254552,0,366.3,1.44,101846,2244.2,22.03,666348,1151,0,12818,1314,169620,1112.5,6.87,12111,236.1,19.5,91498.25,1829865,2010
"28","NV","Nevada",4,8,0,0,645604,51846,9246.5,21.22,0,0,0,0,9739,80228,0,195.7,2.44,115232,3234.5,28.66,577325,21631,2070,21047,2157,267808,1885.7,7.17,4409,120.9,28.24,119771,2703493,2010
"29","NH","New Hampshire",1,1,1,0,294473,156829,5226.7,24.21,0,0,0,0,33502,33827,0,128.5,3.8,37157,1615.8,43.48,242475,28,0,14415,1478,62612,503.5,8.07,12029,314.1,26.12,62678.75,1316517,2010
"30","NJ","New Jersey",1,2,1,0,2395713,376845,37144.8,21.28,0,0,0,0,64370,71961,0,299.3,4.16,270160,11589,43.07,1772767,448,0,177,18,671474,6224.4,9.39,8532,267.2,31.32,492990,8803580,2010
"31","NM","New Mexico",4,8,0,0,649962,2255073,7207.1,20.02,0,0,0,0,17663,267474,381448,550.3,2.06,76526,1833.5,24.88,737539,324,0,2117,217,246201,904.6,6.54,8501,206.1,24.24,86194.75,2064950,2010
"32","NY","New York",1,2,1,1,3723729,836703,61972,23.09,0,0,0,0,120168,167094,0,540.9,3.24,493456,23735.2,48.1,2733286,1070,0,248502,25472,1224485,11722.5,9.7,31093,885.6,28.48,1208079.25,19400867,2010
"33","NC","North Carolina",3,5,1,0,2685333,576162,33119.5,20.27,0,0,0,0,134325,749091,0,2651.9,3.54,465448,11822.8,25.4,1869784,931,0,46405,4757,308710,2742.5,9.12,47840,1273.9,26.63,417375.5,9559488,2010
"34","ND","North Dakota",2,4,0,0,476072,1253749,4555.5,13.79,0,0,0,0,25305,409684,377669,721.7,1.76,44207,913.3,20.87,622237,906,0,19923,2042,70046,269.4,6.04,9541,187,19.79,36033,674345,2010
"35","OH","Ohio",2,3,0,1,3824933,1032440,45104.2,18.18,0,0,0,0,110645,1355137,644947,3392.6,2.5,525944,13976.9,26.89,3304252,3241,0,4186,429,810958,6742.5,8.72,29374,699.8,23.96,494736.25,11540070,2010
